sample_id,split,domain_id,is_labeled,c1_rel_db,c2_rel_db,delta_rel_db,sum_rel_db,log_ratio,c1_dbm,c2_dbm,rss_a_p1_rel_db,rss_b_p1_rel_db,rss_a_p2_rel_db,rss_b_p2_rel_db,theta1_rad,theta2_rad,d1_m,d2_m,room_dim_m,mask_4rss_is_gt
11,train,0,1,-47.14442690992226,-39.773489707825135,7.370937202097124,-86.9179166177474,1.697221012294408,-77.14442690992226,-69.77348970782514,-45.08638306165727,-39.72919615897588,-45.833594926617195,-50.634862575211066,1.508377517,-1.555172598,1.603121959,6.400781131,7.999999933,1
12,train,0,1,-42.24753740259764,-39.269308276273854,2.9782291263237823,-81.51684567887149,0.685762598979382,-72.24753740259763,-69.26930827627385,-44.522252946121775,-39.05263414445326,-45.96879478824182,-50.7727454200674,1.499488862,-1.555645971,1.403566885,6.600757567,8.000000035,1
13,train,0,1,-43.615107430453634,-38.02749774611733,5.587609684336307,-81.64260517657095,1.286594676462194,-73.61510743045363,-68.02749774611732,-43.87216143280264,-38.25170024688501,-46.108339156354674,-50.90443970758825,1.487655095,-1.556091504,1.204159459,6.800735062,7.999999809,1
14,train,0,1,-44.43697499232712,-37.36640926836075,7.070565723966375,-81.80338426068786,1.6280579235039625,-74.43697499232712,-67.36640926836074,-43.11580177997289,-37.29216386942157,-46.234230429434874,-51.02922996790579,1.471127674,-1.556511584,1.004987559,7.000714148,7.999999896,1
15,train,0,1,-40.82494490447453,-36.111389151616585,4.713555752857943,-76.93633405609111,1.085336321152703,-70.82494490447453,-66.11138915161658,-42.23298816011589,-36.06394967426792,-46.36388020107856,-51.15771230367396,1.446441332,-1.556908331,0.806225773,7.200694482,8.000000069,1
16,train,0,1,-41.79798540514359,-34.27552448301406,7.522460922129532,-76.07350988815764,1.7321106381925704,-71.79798540514359,-64.27552448301407,-41.174754620451196,-34.345843304481704,-46.49751981665837,-51.278437272517074,1.405647649,-1.557283636,0.608276252,7.400675764,8.000000118,1
17,train,0,1,-39.60027012055365,-30.694233080771557,8.906037039782095,-70.29450320132521,2.0506908125455072,-69.60027012055366,-60.69423308077155,-39.83071070963029,-30.66974585366928,-46.61543506395395,-51.39661993429006,1.325817664,-1.557639191,0.412310563,7.60065768,7.999999814,1
18,train,0,1,-35.14180655409912,-17.889037115341054,17.252769438758065,-53.03084366944017,3.9725969722547565,-65.14180655409912,-47.889037115341054,-34.87922920078674,-17.8873690748144,-46.736641390712485,-51.51195298948196,1.107148718,-1.557976516,0.223606798,7.800640803,7.999999804,1
19,train,0,1,-15.142871459516211,-14.50454306905046,0.6383283904657517,-29.64741452856667,0.1469805436321323,-45.142871459516215,-44.504543069050456,-15.139955086229516,-14.504782129559853,-46.861327796308466,-51.61780778092374,0.0,-1.558296978,0.1,8.000625119,8.000000143,1
20,train,0,1,-17.303536591382723,-32.64894752061209,-15.345410929229367,-49.95248411199481,-3.533411445151144,-47.30353659138272,-62.64894752061209,-17.299503334125117,-32.69922207653291,-46.96803942579511,-51.72630726946175,-1.107148718,-1.558601809,0.223606798,8.2006095,7.999999766,1
